"CNumber","Inhibitor","Brutto","MW","Action","Reference","Reference 2","PMID2","Patent","Commercial Vendor","CAS","InChI","InChI Key","PubChem CID","SMILES","Alt Name"
"54","H-7, Dihydrochloride","C14H17N3O2S • 2HCl","364.3","serine/threonine kinases","Ku W.C. (1997) Biochem. Biophys. Res. Commun. 241 730","Jarvis W.D. (1994) Cancer Res. 54 1707","7511048","WO1999041984","Merck (Calbiochem)","84477-87-2","InChI=1S/C14H17N3O2S/c1-11-9-16-7-8-17(11)20(18,19)14-4-2-3-12-10-15-6-5-13(12)14/h2-6,10-11,16H,7-9H2,1H3","BDVFVCGFMNCYPV-UHFFFAOYSA-N","3542","CC1CNCCN1S(=O)(=O)C2=CC=CC3=C2C=CN=C3","CHEBI:43385, h7 dihydrochloride, H 7, BRN 5482740, Piperazine"
"55","H-8, Dihydrochloride","C12H15N3O2S • 2HCl","338.3","serine/threonine kinases","Ido M. (1991) Br. J. Cancer 64 1103","Hagiwara M. (1987) Mol. Pharmacol. 31 523","3574296","WO1999041984","Merck (Calbiochem)","113276-94-1","InChI=1S/C12H15N3O2S/c1-13-7-8-15-18(16,17)12-4-2-3-10-9-14-6-5-11(10)12/h2-6,9,13,15H,7-8H2,1H3/p+1","PJWUXKNZVMEPPH-UHFFFAOYSA-O","7000066","C[NH2+]CCNS(=O)(=O)C1=CC=CC2=C1C=CN=C2","H8, H 8, ZINC02043206, AC1OCSTG, A803036"
"56","H-89, Dihydrochloride","C20H20BrN3O2S • 2HCl","519.3","PKA","Leemhuis J.  (2002) J. Pharmacol. Exp. Ther. 300 1000","Davies S.P. (2000) Biochem. J. 351 95","10998351","WO2003080649","Merck (Calbiochem)","127243-85-0","InChI=1S/C20H20BrN3O2S.2ClH/c21-18-8-6-16(7-9-18)3-2-11-22-13-14-24-27(25,26)20-5-1-4-17-15-23-12-10-19(17)20;;/h1-10,12,15,22,24H,11,13-14H2;2*1H/b3-2+;;","GELOGQJVGPIKAM-WTVBWJGASA-N","5702541","C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNCC=CC3=CC=C(C=C3)Br.Cl.Cl","H89, H 89, S1582_Selleck, AC1NWBIF, EU-0100140, SureCN1048972"
"57","HA-1077, Dihydrochloride (Fasudil)","C14H17N3O2S • 2HCl","364.3","PKA","Watanabe K. (2007) Nature Biotechnology 25 681","Swärd K. (2000) J. Physiol. 522 33","10618150","WO1999041984","Merck (Calbiochem)","103745-39-7","InChI=1S/C14H17N3O2S.2ClH/c18-20(19,17-9-2-6-15-8-10-17)14-4-1-3-12-11-16-7-5-13(12)14;;/h1,3-5,7,11,15H,2,6,8-10H2;2*1H","NOXXIYDYFSNHDF-UHFFFAOYSA-N","16219471","C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3.Cl.Cl","HA1077, HA 1077, SureCN599053"
"147","HA-1100 (Hydroxyfasudil)","C14H17N3O3S.HCl","343.83","ROCK","S. Wolfrum (2004) Arterioscler. Thromb. Vasc. Biol. 24 1842","","","","Merck (Calbiochem)","105628-72-6","InChI=1S/C14H17N3O3S/c18-14-12-3-1-4-13(11(12)5-7-16-14)21(19,20)17-9-2-6-15-8-10-17/h1,3-5,7,15H,2,6,8-10H2,(H,16,18)","ZAVGJDAFCZAWSZ-UHFFFAOYSA-N","3064778","C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CNC3=O","HA1100, HA 1100, Hydroxy-Fasudil"
"58","Harmaline","C13H14N2O","214.263","serotonin, monoamine oxidase","Herraiz T. (2013) Drug Test. 1002/dta.1530.","","","WO1999041984","Sigma","304-21-2","InChI=1S/C13H14N2O/c1-8-13-11(5-6-14-8)10-4-3-9(16-2)7-12(10)15-13/h3-4,7,14H,5-6H2,1-2H3","QJOZJXNKVMFAET-UHFFFAOYSA-N","5280951","CC1=C2C(=C3C=CC(=CC3=N2)OC)CCN1","Armalin, Dihydroharmine       , Harmalol methyl ether"
"59","Harmalol","C12H12N2O • HCl • 2H2O","272.73","serotonin, monoamine oxidase","Riba J. (2012) Drug Test. 610-6.","","","US5256533","Sigma","6028-00-8","InChI=1S/C12H12N2O/c1-7-12-10(4-5-13-7)9-3-2-8(15)6-11(9)14-12/h2-3,6,13-14H,4-5H2,1H3","CRQDWQWZCNKKAC-UHFFFAOYSA-N","5353656","CC1=C2C(=C3C=CC(=O)C=C3N2)CCN1","Harmidol, CHEBI:27943"
"60","Harmane","C12H10N2","182.22","serotonin, monoamine oxidase","Smith KL. (2013) J Psychopharmacol. 162-70","","","US5256533","Sigma","486-84-0","InChI=1S/C12H10N2/c1-8-12-10(6-7-13-8)9-4-2-3-5-11(9)14-12/h2-7,14H,1H3","PSFDQSOCUJVVGF-UHFFFAOYSA-N","5281404","CC1=NC=CC2=C1NC3=CC=CC=C23","Harman, Aribine, Aribin, Passiflorin, Locuturin"
"61","Harmine","C13H12N2O","212.25","serotonin, monoamine oxidase","Song Y. (2004) Biochem. Biophys. Res. Commun. 317 128–132","","","US5256533","Sigma","442-51-3","InChI=1S/C13H12N2O/c1-8-13-11(5-6-14-8)10-4-3-9(16-2)7-12(10)15-13/h3-7,15H,1-2H3","BXNJHAXVSOCGBA-UHFFFAOYSA-N","5280953","CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC","Banisterine       , Leucoharmine       , Telepathine, Yageine, Yajeine"
"261","HG-10-102-01","","","LRRK2","Choi H.G. (2012) ACS Med. Chem. Lett.","","","","","","","","","",""
"286","HG-9-91-01","C32H38ClN7O3","604.14","SIK","Clark K. (2012) Proc Natl Acad Sci USA 109(42) 16986-91","","","","","","","","","","SHN-1733"
"254","Hypothemycin","C19H22O8","378.37","cyclin D1","H. Sonoda (1999) Life Sci. 65 381","A. Zhao (1999) J. Antibiot. 52 1086","","","Sigma","76958-67-3","InChI=1S/C19H22O8/c1-9-4-3-5-12(20)18-15(27-18)8-14(22)17(23)11-6-10(25-2)7-13(21)16(11)19(24)26-9/h3,5-7,9,14-15,17-18,21-23H,4,8H2,1-2H3/b5-3-/t9?,14?,15?,17-,18?/m0/s1","HDZUUVQEDFZKAX-JOLUUEAESA-N","6474405","CC1CC=CC(=O)C2C(O2)CC(C(C3=CC(=CC(=C3C(=O)O1)O)OC)O)O",""
"62","IC261","C18H17NO4","311.3","CK1","Behrend L.  (2000) Oncogene 19 5303","Mashhoon N. (2000) J. Biol. Chem. 275 20052","10749871","WO2008066626","Merck (Calbiochem)","186611-52-9","InChI=1S/C18H17NO4/c1-21-11-8-16(22-2)14(17(9-11)23-3)10-13-12-6-4-5-7-15(12)19-18(13)20/h4-10H,1-3H3,(H,19,20)/b13-10+","JBJYTZXCZDNOJW-JLHYYAGUSA-N","5288600","COC1=CC(=C(C(=C1)OC)C=C2C3=CC=CC=C3NC2=O)OC","IC 261, IC-261, IC1, Lopac-I-0658, AC1NRBRK, SU5607"
"172","IKK Inhibitor VII","C28H29N5OS ","483.6 ","IKK","Waelchli R. (2006) Bioorg. Med. Chem. Lett. 16 108","","","","Merck (Calbiochem)","873225-46-8","InChI=1S/C28H29N5OS/c34-27(33-17-12-23(13-18-33)32-15-3-4-16-32)20-7-9-22(10-8-20)30-28-29-14-11-24(31-28)26-19-21-5-1-2-6-25(21)35-26/h1-2,5-11,14,19,23H,3-4,12-13,15-18H2,(H,29,30,31)","BWZJBXAPRCVCKQ-UHFFFAOYSA-N","9549298","C1CCN(C1)C2CCN(CC2)C(=O)C3=CC=C(C=C3)NC4=NC=CC(=N4)C5=CC6=CC=CC=C6S5","IKK-16, IKK Inhibitor"
"63","IKK-2 Inhibitor IV (TPCA-1)","C12H10FN3O2S","279.3","IKK2","Podolin P.L. (2005) J. Pharmacol. Exp. Ther. 312 373","Karin M. (2004) Nat. Rev. Drug Discov. 3 17","14708018","WO2008144011","Merck (Calbiochem)","507475-17-4","InChI=1S/C12H10FN3O2S/c13-7-3-1-6(2-4-7)9-5-8(10(14)17)11(19-9)16-12(15)18/h1-5H,(H2,14,17)(H3,15,16,18)","SAYGKHKXGCPTLX-UHFFFAOYSA-N","9903786","C1=CC(=CC=C1C2=CC(=C(S2)NC(=O)N)C(=O)N)F","SHN-664, TPCA-1, SureCN717369, CHEMBL257167, CTK8C2383, CHEBI:525081, IKK2, IKK 2"
"173","IKK-2 Inhibitor VIII","C21H24N4O2","364.4 ","IKK2","Murata T. (2004) Bioorg. Med. Chem. Lett. 14 4019 ","","","","Merck (Calbiochem)","406208-42-2","InChI=1S/C21H24N4O2.ClH/c22-11-16-15(14-6-8-24-9-7-14)10-17(25-21(16)23)20-18(26)2-1-3-19(20)27-12-13-4-5-13;/h1-3,10,13-14,24-25H,4-9,12,23H2;1H/b20-17-;","BKIZYSPLJNGJEL-BZHDPTRRSA-N","66576999","C1CC1COC2=CC=CC(=O)C2=C3C=C(C(=C(N3)N)C#N)C4CCNCC4.Cl","IKK2 Inhibitor VIII"
"64","IKK-3 inhibitor IX","C22H19N3O5S2","469.5","IKK3","Bamborough P. (2006) Bioorg. Med. Chem. Lett. 16 6236","","","US20120134931","Merck (Calbiochem)","862812-98-4","InChI=1S/C22H19N3O5S2/c1-28-17-8-15-16(9-18(17)29-2)25(13-24-15)22-10-19(20(11-23)31-22)30-12-14-6-4-5-7-21(14)32(3,26)27/h4-10,13H,12H2,1-3H3","LDTAHRLHGHFHKP-UHFFFAOYSA-N","11626927","COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C#N)OCC4=CC=CC=C4S(=O)(=O)C)OC","GSK319347A, CAY10576, IKK3, IKK 3, CHEMBL373751, CTK8E9362, HMS3229F19, SureCN3413628, IKK 3, IKK3"
"167","IMD-0354","C15H8ClF6NO2","383.67","IKK2","Tanaka A, (2005) Blood 105 2324-2331","","","","Sigma","978-62-1","InChI=1S/C15H8ClF6NO2/c16-9-1-2-12(24)11(6-9)13(25)23-10-4-7(14(17,18)19)3-8(5-10)15(20,21)22/h1-6,24H,(H,23,25)","CHILCFMQWMQVAL-UHFFFAOYSA-N","5081913","C1=CC(=C(C=C1Cl)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)O","IMD0354, IMD 0354, IKK-2 Inhibitor V, IKK 2 Inhibitor V, Kinome_1864"
"133","IPA-3","C20H14O2S2","350.45","PAK1","Deacon S.W. (2008) Chemistry and Biology 15 322","","","","Merck (Calbiochem)","42521-82-4","InChI=1S/C20H14O2S2/c21-17-11-9-13-5-1-3-7-15(13)19(17)23-24-20-16-8-4-2-6-14(16)10-12-18(20)22/h1-12,21-22H","RFAXLXKIAKIUDT-UHFFFAOYSA-N","521106","C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O","SHN-891, IPA 3, IPA3, CTK8G0340, ZINC01957909, AC1LAV4U"
"145","IRAK 1-4 Inhibitor 1","C20H21N5O4","395.41","IRAK1, IRAK4","Powers J. P. (2006) Bioorg. Med. Chem. Lett. 16 2842-2845","","","","Merck (Calbiochem)","509093-47-4","InChI=1S/C20H21N5O4/c26-19(15-4-3-5-16(14-15)25(27)28)22-20-21-17-6-1-2-7-18(17)24(20)9-8-23-10-12-29-13-11-23/h1-7,14H,8-13H2,(H,21,22,26)","QTCFYQHZJIIHBS-UHFFFAOYSA-N","11983295","C1COCCN1CCN2C3=CC=CC=C3N=C2NC(=O)C4=CC(=CC=C4)[N+](=O)[O-]","IRAK Inhibitor, IRAK-1/4 Inhibitor"
"65","IRAK-4 kinase inhibitor a","C22H24N4O6","440.45","IRAK4","Wang Z. (2006) Structure 14 1835-1844","","","","","","InChI=1S/C22H26N4O6/c1-22(2,3)20(29)32-16-8-9-18-17(13-16)23-21(25(18)10-5-11-27)24-19(28)14-6-4-7-15(12-14)26(30)31/h4,6-9,12-13,27,30-31H,5,10-11H2,1-3H3,(H,23,24,28)","RKAASBGJMVRFNL-UHFFFAOYSA-N","","CC(C)(C)C(=O)Oc1ccc2c(c1)nc(n2CCCO)NC(=O)c3cccc(c3)N(O)O","SHN-595a, IRAK 4, IRAK-4, IRAK4, SHN595a, SHN 595a"
"258","IRAK-4 kinase inhibitor b","C22H24N4O6","440.45","IRAK4","","","","","","","","","","","SHN-595b"
"221","Ischemin","C15H17N3O4S","335.38","p53 CBP","Jagat C. Borah (2011) Chemistry & Biology, 18 4 531-541","","","","","","","","","","SHN-1462, SHN 1462, SHN1462"
"252","JNKIN7","C28H27N7O2","493.56","JNK","Zhang T. (2012) Chem Biol. 19(1) 140-54","","","","","","","","","","SHN-1616"
"253","JNKIN8","C29H29N7O2","507.59","JNK","Zhang T. (2012) Chem Biol. 19(1) 140-54","","","","","","","","","","SHN-1625"
"66","K252a","C27H21N3O5","467.5","CaMKII","Cools J.  (2004) Cancer Res. 64 6385","Chin L.S. (1999) Cancer Invest. 17 391","10434949","WO2011114220","Merck (Calbiochem)","99533-80-9","InChI=1S/C27H21N3O5/c1-26-27(33,25(32)34-2)11-18(35-26)29-16-9-5-3-7-13(16)20-21-15(12-28-24(21)31)19-14-8-4-6-10-17(14)30(26)23(19)22(20)29/h3-10,18,33H,11-12H2,1-2H3,(H,28,31)/t18-,26+,27?/m1/s1","KOZFSFOOLUUIGY-UHOLRESSSA-N","127357","CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(C(=O)OC)O","SF 2370       , Antibiotic K 252a, AR-1J6458, LS-64041, K252 a, K-252a"
"292","Kalopanaxsaponin A","C41H66O12","750.96","","","","","","","104748-88-1","InChI=1S/C41H66O12/c1-21-28(44)30(46)31(47)33(51-21)53-32-29(45)24(43)19-50-34(32)52-27-11-12-37(4)25(38(27,5)20-42)10-13-40(7)26(37)9-8-22-23-18-36(2,3)14-16-41(23,35(48)49)17-15-39(22,40)6/h8,21,23-34,42-47H,9-20H2,1-7H3,(H,48,49)/t21-,23-,24-,25+,26+,27-,28-,29-,30+,31+,32+,33-,34-,37-,38-,39+, 40+,41-/m0/s1","KEOITPILCOILGM-LLJOFIFVSA-N","73296","CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)CO)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O","Helixin, Koronaroside A, Sapindoside A"
"67","Kenpaullone","C16H11BrN2O","327.2","GSK, CDK","Bain J.  (2003) Biochem. J. 371 199","Buolamwini J.K. (2000) Curr. Pharm. Des. 6 379","10788588","WO2013184591","Merck (Calbiochem)","142273-20-9","InChI=1S/C16H11BrN2O/c17-9-5-6-14-11(7-9)12-8-15(20)18-13-4-2-1-3-10(13)16(12)19-14/h1-7,19H,8H2,(H,18,20)","QQUXFYAWXPMDOE-UHFFFAOYSA-N","3820","C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)Br","NSC 664704       , NSC664704, MLS002702152, Bromo Paullone"
"226","KIN 112","C32H36N6O4","568.67","Lck","Martin M.W. (2006)  J.Med.Chem. 49 4981-4991","","","","","","","","","","SHN-1579, SHN1579, SHN 1579, KIN112, KIN112"
"69","KN62","C38H35N5O6S2","721.9","CaMKII","Minami H. (1994) Biochem. Biophys. Res. Commun. 199 241","","","US20080255244","Merck (Calbiochem)","127191-97-3","InChI=1S/C38H35N5O6S2/c1-41(50(45,46)36-11-5-7-29-26-39-19-17-33(29)36)35(38(44)43-23-21-42(22-24-43)31-9- 3-2-4-10-31)25-28-13-15-32(16-14-28)49-51(47,48)37-12-6-8-30-27-40-20-18-34(30)37/h2-20,26-27,35H,21-25H2,1H3/t35-/m0/s1","RJVLFQBBRSMWHX-DHUJRADRSA-N","5312126","CN(C(CC1=CC=C(C=C1)OS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C(=O)N4CCN(CC4)C5=CC=CC=C5)S(=O)(=O)C6=CC=CC7=C6C=CN=C7","KN 62, KN62, KN-62, AC1NSM23, Lopac0_000620, MLS000028868, CHEMBL28324"
"70","KN93","C26H29CIN2O4S","501","CaMKII","Fan G.H.  (1999) Mol. Pharmacol. 56 39","Tombes R.M. (1995) Cell Growth Differ. 6 1063","8519682","WO2009042906","Merck (Calbiochem)","139298-40-1","InChI=1S/C26H29ClN2O4S/c1-28(17-5-6-21-9-11-23(27)12-10-21)20-22-7-3-4-8-26(22)29(18-19-30)34(31,32)25-15-13-24(33-2)14-16-25/h3-16,30H,17-20H2,1-2H3/b6-5+","LLLQTDSSHZREGW-AATRIKPKSA-N","5312122","CN(CC=CC1=CC=C(C=C1)Cl)CC2=CC=CC=C2N(CCO)S(=O)(=O)C3=CC=C(C=C3)OC","KN-93, KN 93, AC1NSM1R"
"71","KT5720","C32H31N3O5","537.6","PKA","Simpson CS. Morris BJ. (1995) Neuroscience 68 97-106","Cabell L. Audesirk G. (1993) Int. J. Dev. Neurosci. 11 357","7689287","US20100216703","Merck (Calbiochem)","108068-98-0","InChI=1S/C32H31N3O5/c1-3-4-5-10-15-39-30(37)32(38)16-23-34-21-13-8-6-11-18(21)25-26-20(17-33-29(26)36)24-19-12-7-9-14-22(19)35(28(24)27(25)34)31(32,2)40-23/h6-9,11-14,23,38H,3-5,10,15-17H2,1-2H3,(H,33,36)/t23-,31+,32+/m0/s1","ZHEHVZXPFVXKEY-RUAOOFDTSA-N","454202","CCCCCCOC(=O)C1(CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C1(O2)C)CNC6=O)O","KT 5720, KT-5720, AC1L9RH2, HMS3229H09"
"150","KU 0063794","C25H31N5O4","465.54","mTOR","Juan M. García-Martínez (2009) Biochem J. 421 29–42","","","","Tocris","938440-64-3","InChI=1S/C25H31N5O4/c1-16-13-30(14-17(2)34-16)25-27-23-20(24(28-25)29-8-10-33-11-9-29)5-6-21(26-23)18-4-7-22(32-3)19(12-18)15-31/h4-7,12,16-17,31H,8-11,13-15H2,1-3H3/t16-,17+","RFSMUFRPPYDYRD-CALCHBBNSA-N","16736978","CC1CN(CC(O1)C)C2=NC3=C(C=CC(=N3)C4=CC(=C(C=C4)OC)CO)C(=N2)N5CCOCC5","AZ4, KU0063794, KU-0063794"
"159","KU 55933","C21H17NO3S2","395.49","ATM kinase","Hickson (2004) Cancer Res. 64 9152","","","","Tocris","587871-26-9","InChI=1S/C21H17NO3S2/c23-14-12-16(25-20(13-14)22-8-10-24-11-9-22)15-4-3-7-19-21(15)27-18-6-2-1-5-17(18)26-19/h1-7,12-13H,8-11H2","XRKYMMUGXMWDAO-UHFFFAOYSA-N","5278396","C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4","KU55933, KU-55933, ATM Kinase Inhibitor"
"318","KU55933","C21H17NO3S2","395.49","ATM","Li Y. (2010) Mol. Cancer Ther. 2010 Jan. 9(1) 113-25","","","","Tocris Bioscience","587871-26-9","InChI=1S/C21H17NO3S2/c23-14-12-16(25-20(13-14)22-8-10-24-11-9-22)15-4-3- 7-19-21(15)27-18-6-2-1-5-17(18)26-19/h1-7,12-13H,8-11H2","XRKYMMUGXMWDAO-UHFFFAOYSA-N","5278396","C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4","KU-55933, KU 55933, ATM Kinase Inhibitor"
"180","LDN-193189","C25H22N6","406.49","BMP","Yu (2008) Nat. Chem. Biol. 4 33–41","Cuny  (2008) Bioorg. Med. Chem. Lett. 18 4388–4392","18621530","","Miltenyi Biotech","1062368-24-4","InChI=1S/C25H22N6/c1-2-4-24-22(3-1)21(9-10-27-24)23-16-29-31-17-19(15-28-25(23)31)18-5-7-20(8-6-18)30-13-11-26-12-14-30/h1-10,15-17,26H,11-14H2","CDOVNWNANFFLFJ-UHFFFAOYSA-N","25195294","C1CN(CCN1)C2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC6=CC=CC=C56)N=C3","LDN193189, LDN 193189"
"298","Leflunomide","C12H9F3N2O2","270.20727","","","","","","","75706-12-6","InChI=1S/C12H9F3N2O2/c1-7-10(6-16-19-7)11(18)17-9-4-2-8(3-5-9)12(13, 14)15/h2-6H,1H3,(H,17,18)","VHOGYURTWQBHIL-UHFFFAOYSA-N","3899","CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F",""
"284","Lenalidomide (Revlimid)","C13H13N3O3","259.26","TNF-α","Rushworth S.A. (2013) Cellular Signalling 25 1 106-112","","","","Selleck","191732-72-6","InChI=1S/C13H13N3O3/c14-9-3-1-2-7-8(9)6-16(13(7)19)10-4-5-11(17)15-12(10)18/h1-3,10H,4-6,14H2,(H,15,17,18)","GOTYRUGSSMKFNF-UHFFFAOYSA-N","216326","C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N",""
"203","LFM-A13","C11H8Br2N2O2","360.0","BTK","Vassilev J.Biol.Chem. 274 1646","Mahajan et al J.Biol.Chem. 274 9587","10092645","","Tocris","62004-35-7","InChI=1S/C11H8Br2N2O2/c1-6(16)8(5-14)11(17)15-10-4-7(12)2-3-9(10)13/h2-4,16H,1H3,(H,15,17)/b8-6-","UVSVTDVJQAJIFG-VURMDHGXSA-N","54676905","CC(=C(C#N)C(=O)NC1=C(C=CC(=C1)Br)Br)O","LFMA13, LFM A13, BMK1-F2"
"72","LiCl","ClLi","42.394","GSK3b","Galli C. (2013) Clin Oral Implants Res. 921-7.","","","WO2001074164","Sigma","7447-41-8","InChI=1S/ClH.Li/h1H;/q;+1/p-1","KWGKDLIKAYFUFQ-UHFFFAOYSA-M","433294","[Li+].[Cl-]","Li-Cl, Li Cl, Lithium Chloride"
"183","LRRK2-IN1","C31H38N8O3","570.69","LRRK2","Deng X. (2011) Nat. Chem. Biol. 7 203","","","WO2010080712","","","InChI=1S/C31H38N8O3/c1-35-15-17-38(18-16-35)22-11-13-39(14-12-22)29(40)21-9-10-24(27(19-21)42-4)33-31-32-20-26-28(34-31)36(2)25-8-6-5-7-23(25)30(41)37(26)3/h5-10,19-20,22H,11-18H2,1-4H3,(H,32,33,34)","IWMCPJZTADUIFX-UHFFFAOYSA-N","","CN1CCN(CC1)C2CCN(CC2)C(=O)C3=CC(=C(C=C3)NC4=NC=C5C(=N4)N(C6=CC=CC=C6C(=O)N5C)C)OCCopy","SHN-1300,  (XMD-1150), SHN1300, SHN 1300, LRRK2IN1, LRRK2 IN1"
"73","LY294002","C19H17NO3","307.4","PI3K","Baumann P. and West S.C. (1998) Proc. Natl. Acad. Sci. USA 95 14066","Cardone M.H. (1998) Science 282 1318","9812896","WO2013097266","Promega","154447-36-6","InChI=1S/C19H17NO3/c21-17-13-18(20-9-11-22-12-10-20)23-19-15(7-4-8-16(17)19)14-5-2-1-3-6-14/h1-8,13H,9-12H2","CZQHHVNHHHRRDU-UHFFFAOYSA-N","3973","C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4","LY 294002, LY-294002, LY-294,002, CHEBI:65329"
"74","LY333531 (Ruboxistaurin)","C28H28IN4O3 .CH4O3S","582.73","PKC","Jirousek M.R. (1996) J. Med. Chem. 39 2664","Tang S. (2008) Proteins 72(1) 447-60","18214957","WO2000053013","Axon","192050-59-2","InChI=1S/C28H28N4O3/c1-30(2)15-18-11-12-31-16-21(19-7-3-5-9-23(19)31)25-26(28(34)29-27(25)33)22-17-32(13-14-35-18)24-10-6-4-8-20(22)24/h3-10,16-18H,11-15H2,1-2H3,(H,29,33,34)/t18-/m0/s1","ZCBUQCWBWNUWSU-SFHVURJKSA-N","153999","CN(C)CC1CCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCO1)C6=CC=CC=C65)C(=O)NC4=O","LY-333531, LY 333531, CHEMBL91829, AC1L4BIF, 1uu3, K00587a"
"184","LY364947","C17H12N4","272.31","TGF-β type-I","Sawyer (2003)  J.Med.Chem. 46 3953","Li (2006)  J.Med.Chem. 49 2138","16539403","","Sigma","396129-53-6","InChI=1S/C17H12N4/c1-2-6-15-13(5-1)12(8-10-19-15)14-11-20-21-17(14)16-7-3-4-9-18-16/h1-11H,(H,20,21)","IBCXZJCWDGCXQT-UHFFFAOYSA-N","447966","C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4","LY-364947, LY 364947, ALK5 Inhibitor I, TbetaR-I Inhibitor"
"215","Merck 7 (PDK1)","C28H22F2N4O4","516.5","PDK1","Nagashima K. (2011) J.Biol.Chem. 286 6433-6448","","","","","","InChI=1S/C29H23F2N3O4/c30-23-11-8-18(13-24(23)31)16-34-12-4-7-22(29(34)37)28(36)33-26(19-5-2-1-3-6-19)17-38-21-10-9-20-14-27(35)32-25(20)15-21/h1-13,15,26H,14,16-17H2,(H,32,35)(H,33,36)/t26-/m0/s1","ONKYDGNPFXINHC-SANMLTNESA-N","","c1ccc(cc1)[C@H](COc2ccc3c(c2)NC(=O)C3)NC(=O)c4cccn(c4=O)Cc5ccc(c(c5)F)F","SHN-1424, SHN1424, SHN 1424"
"322","Metformin","C4H11N5 ","129.16","AMP","Ouyang J. (2010) J. Biol. Chem. 2011 Jan. 7 286(1) 1-11","","","","Sigma","1115-70-4","InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)","XZWYZXLIPXDOLR-UHFFFAOYSA-N","4091","CN(C)C(=N)N=C(N)N","Glucophage, Glumetza, Metiguanide, Diabex, Flumamine"
"170","MK-2206","C25H21N5O.2HCl","480.39","PKB","Hui-Fang Li (2009) Radiation Oncology 4 43","","","","Selleck","1032350-13-2","InChI=1S/C25H21N5O.2ClH/c26-25(12-4-13-25)18-9-7-17(8-10-18)22-19(16-5-2-1-3-6-16)15-20-21(27-22)11-14-30-23(20)28-29-24(30)31;;/h1-3,5-11,14-15H,4,12-13,26H2,(H,29,31);2*1H","HWUHTJIKQZZBRA-UHFFFAOYSA-N","46930998","C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N.Cl.Cl","SHN-1220, SHN1220, SHN 1220, MK2206, MK 2206"
"77","ML-7, Hydrochloride","C15H17IN2O2S • HCl","452.7","MLCK","Krarup T. (1998) Am. J. Physiol. 275 C239","Saitoh M. (1987) J. Biol. Chem. 262 7796","3108259","WO1999041984","Merck (Calbiochem)","110448-33-4","InChI=1S/C15H17IN2O2S.ClH/c16-14-6-1-5-13-12(14)4-2-7-15(13)21(19, 20)18-10-3-8-17-9-11-18;/h1-2,4-7,17H,3,8-11H2;1H","KDDALCDYHZIZMH-UHFFFAOYSA-N","9803932","C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CC=C3I.Cl","ML 7, ML7, SureCN3691324, BMK1-E6"
"78","ML-9, Hydrochloride","C15H17ClN2O2S • HCl","361.3","MLCK","Reig J.A.  (1993) Neurochem. Res. 18 317","Nagatsu T. (1987) Biochem. Biophys. Res. Commun. 143 1045","3566753","WO1999041984","Merck (Calbiochem)","105637-50-1","InChI=1S/C15H17ClN2O2S.ClH/c16-14-6-1-5-13-12(14)4-2-7-15(13)21(19,20)18-10-3-8-17-9-11-18;/h1-2,4-7,17H,3,8-11H2;1H","ZNRYCIVTNLZOGI-UHFFFAOYSA-N","108047","C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CC=C3Cl.Cl","ML9, ML 9, SureCN1848494, C15H17ClN2O2S.HCl"
